"year","population","country","co2","methane","nitrous_oxide","total_ghg","gdp","gdp_scaled"
1990,7724000,"Austria",62.323,11.57,4.9,64.22,1.87e+11,1870
1991,7773000,"Austria",65.931,11.51,4.91,68.45,1.99e+11,1990
1992,7831000,"Austria",60.442,11.32,4.71,62.72,2.06e+11,2060
1993,7892000,"Austria",60.806,10.99,4.65,62.63,2.1e+11,2100
1994,7947000,"Austria",61.199,10.61,4.61,62.71,2.22e+11,2220
1995,7990000,"Austria",64.268,10.12,4.59,65.12,2.31e+11,2310
1996,8018000,"Austria",67.694,9.89,4.69,68.92,2.34e+11,2340
1997,8033000,"Austria",67.464,9.59,4.64,67.91,2.49e+11,2490
1998,8041000,"Austria",67.067,9.31,4.64,67.88,2.62e+11,2620
1999,8051000,"Austria",65.737,9.17,4.63,65.98,2.72e+11,2720
2000,8069000,"Austria",66.313,8.94,4.59,66.22,2.88e+11,2880
2001,8098000,"Austria",70.275,8.8,4.46,75.32,2.83e+11,2830
2002,8134000,"Austria",72.124,8.69,4.77,77,2.92e+11,2920
2003,8176000,"Austria",77.799,8.53,5.58,82.93,2.93e+11,2930
2004,8217000,"Austria",77.921,8.45,3.79,82.53,3.03e+11,3030
2005,8254000,"Austria",79.395,8.24,3.81,82.42,3.12e+11,3120
2006,8285000,"Austria",77.061,8.06,3.77,82.82,3.25e+11,3250
2007,8314000,"Austria",74.469,7.88,3.66,80.37,3.37e+11,3370
2008,8342000,"Austria",73.727,7.8,3.79,80.16,3.42e+11,3420
2009,8373000,"Austria",67.724,7.6,3.53,72.87,3.36e+11,3360
2010,8410000,"Austria",72.228,7.58,3.52,78.38,3.41e+11,3410
2011,8454000,"Austria",70.143,7.41,3.55,75.85,3.5e+11,3500
2012,8502000,"Austria",67.577,7.25,3.59,73.2,3.65e+11,3650
2013,8556000,"Austria",68.161,7.11,3.62,73.79,3.68e+11,3680
2014,8615000,"Austria",64.467,6.96,3.68,70.16,3.86e+11,3860
2015,8679000,"Austria",66.733,6.88,3.68,71.49,3.89e+11,3890
2016,8747000,"Austria",67.315,6.79,3.7,71.85,3.95e+11,3950
1990,4776000,"Croatia",23.337,4.12,3.01,17.07,66957324288,669.57324288
1991,4760000,"Croatia",17.189,4,2.7,10.56,53329502208,533.29502208
1992,4733000,"Croatia",16.513,3.73,2.82,11.59,46423465984,464.23465984
1993,4698000,"Croatia",16.966,3.68,2.36,12.5,43490336768,434.90336768
1994,4658000,"Croatia",16.225,3.54,2.39,12.6,46159740928,461.59740928
1995,4617000,"Croatia",16.933,3.46,2.31,13.9,49532973056,495.32973056
1996,4575000,"Croatia",17.524,3.4,2.34,13.25,51850924032,518.50924032
1997,4532000,"Croatia",18.586,3.38,2.7,14.73,57923248128,579.23248128
1998,4492000,"Croatia",19.29,3.38,2.18,15.03,59404398592,594.04398592
1999,4456000,"Croatia",20.127,3.38,2.33,14.67,60471029760,604.7102976
2000,4428000,"Croatia",19.699,3.32,2.5,13.76,62891139072,628.91139072
2001,4408000,"Croatia",20.817,3.39,2.31,14.55,63642439680,636.4243968
2002,4396000,"Croatia",21.925,3.4,2.45,15.54,66150264832,661.50264832
2003,4389000,"Croatia",23.278,3.52,2.35,16.6,68902117376,689.02117376
2004,4384000,"Croatia",22.925,3.65,2.73,16.35,71095967744,710.95967744
2005,4378000,"Croatia",23.384,3.63,2.53,16.22,73977069568,739.77069568
2006,4371000,"Croatia",23.603,3.74,2.95,19.02,77424394240,774.2439424
2007,4362000,"Croatia",24.919,3.82,3.12,20.59,85629665280,856.2966528
2008,4353000,"Croatia",23.66,3.76,3.46,19.73,90480205824,904.80205824
2009,4341000,"Croatia",21.849,3.81,2.27,17.18,87007707136,870.07707136
2010,4328000,"Croatia",21.064,3.79,2.54,16.54,83865575424,838.65575424
2011,4313000,"Croatia",20.699,3.83,2.67,22.13,87256449024,872.56449024
2012,4296000,"Croatia",19.116,3.75,2.36,20.1,90095968256,900.95968256
2013,4277000,"Croatia",18.455,3.63,1.74,19,88068751360,880.6875136
2014,4256000,"Croatia",17.708,3.63,1.71,18.26,89170362368,891.70362368
2015,4233000,"Croatia",17.841,3.73,1.86,18.85,90623172608,906.23172608
2016,4209000,"Croatia",18.083,3.74,1.63,18.94,93290250240,932.9025024
1990,5141000,"Denmark",53.558,8.86,7.19,68.23,1.29e+11,1290
1991,5155000,"Denmark",64.175,8.98,7.04,78.84,1.32e+11,1320
1992,5172000,"Denmark",58.365,8.97,6.58,72.62,1.37e+11,1370
1993,5191000,"Denmark",60.612,9.11,6.61,75.21,1.36e+11,1360
1994,5211000,"Denmark",64.674,8.96,6.51,78.89,1.45e+11,1450
1995,5233000,"Denmark",61.584,9.03,6.54,75.83,1.49e+11,1490
1996,5255000,"Denmark",74.832,9.07,6.47,89.25,1.53e+11,1530
1997,5278000,"Denmark",65.432,8.96,6.48,79.63,1.63e+11,1630
1998,5300000,"Denmark",61.202,8.95,6.32,75.6,1.72e+11,1720
1999,5322000,"Denmark",58.621,8.74,6.37,72.75,1.8e+11,1800
2000,5341000,"Denmark",54.279,8.65,6.37,68.49,1.92e+11,1920
2001,5358000,"Denmark",55.867,8.89,6.19,70.86,1.92e+11,1920
2002,5373000,"Denmark",55.53,8.64,5.74,70.31,1.96e+11,1960
2003,5387000,"Denmark",60.615,8.55,6.2,76.09,1.92e+11,1920
2004,5403000,"Denmark",55.069,8.32,5.42,69.64,2.01e+11,2010
2005,5422000,"Denmark",51.498,8.14,5.31,65.83,2.06e+11,2060
2006,5444000,"Denmark",59.418,8.02,5.23,72.86,2.17e+11,2170
2007,5470000,"Denmark",54.644,8.03,5.2,68.03,2.22e+11,2220
2008,5498000,"Denmark",51.231,7.8,5.22,64.62,2.28e+11,2280
2009,5526000,"Denmark",48.837,7.57,4.92,61.73,2.24e+11,2240
2010,5555000,"Denmark",49.169,7.78,4.84,62.23,2.36e+11,2360
2011,5583000,"Denmark",44.211,7.62,4.81,55.45,2.43e+11,2430
2012,5611000,"Denmark",39.836,7.47,4.85,50.07,2.44e+11,2440
2013,5638000,"Denmark",41.734,7.34,4.76,51.59,2.49e+11,2490
2014,5664000,"Denmark",37.535,7.21,4.94,47.33,2.51e+11,2510
2015,5689000,"Denmark",35.204,7.18,5.1,45.05,2.55e+11,2550
2016,5711000,"Denmark",37.019,7.17,5.08,46.66,2.59e+11,2590
1990,4996000,"Finland",56.972,8.35,6.56,45.1,1.21e+11,1210
1991,5019000,"Finland",55.23,8.26,5.99,45.07,1.11e+11,1110
1992,5045000,"Finland",54.286,8.19,5.82,41.93,1.1e+11,1100
1993,5072000,"Finland",56.353,8.15,5.92,43.18,1.08e+11,1080
1994,5097000,"Finland",61.716,8.05,6.09,49.81,1.15e+11,1150
1995,5119000,"Finland",58.145,7.83,6.07,45.77,1.28e+11,1280
1996,5137000,"Finland",64.062,7.72,6.07,52.28,1.26e+11,1260
1997,5152000,"Finland",62.723,7.57,6.1,50.3,1.39e+11,1390
1998,5164000,"Finland",59.373,7.3,5.94,46.57,1.53e+11,1530
1999,5176000,"Finland",58.895,7.1,5.89,45.65,1.61e+11,1610
2000,5188000,"Finland",57.038,6.76,5.88,44.09,1.71e+11,1710
